query	nugget
0038	1C2-E-TEST-0038-133.17
0038	1C2-E-TEST-0035-440.1461
0038	1C2-E-TEST-0035-440.1594
0038	1C2-E-TEST-0035-440.1877
0038	1C2-E-TEST-0035-440.2096
0038	1C2-E-TEST-0035-440.2334
0038	1C2-E-TEST-0035-440.2433
0038	1C2-E-TEST-0035-440.2503
0038	1C2-E-TEST-0035-440.2558
0038	1C2-E-TEST-0035-440.2566
0038	1C2-E-TEST-0035-440.2575
0038	1C2-E-TEST-0035-440.2613
0038	1C2-E-TEST-0035-440.2669
0038	1C2-E-TEST-0035-440.2786
0038	1C2-E-TEST-0035-440.2828
0038	1C2-E-TEST-0035-440.2930
0035	1C2-E-TEST-0035-440.3031
0035	1C2-E-TEST-0035-440.3060
0035	1C2-E-TEST-0035-440.3116
0035	1C2-E-TEST-0035-440.3185
0035	1C2-E-TEST-0035-440.3213
0035	1C2-E-TEST-0035-440.3280
0035	1C2-E-TEST-0035-440.3289
0035	1C2-E-TEST-0035-440.3416
0035	1C2-E-TEST-0035-440.3578
0035	1C2-E-TEST-0035-440.3657
0035	1C2-E-TEST-0035-440.3675
0035	1C2-E-TEST-0035-440.3754
0035	1C2-E-TEST-0035-440.3771
0035	1C2-E-TEST-0035-440.3960
0035	1C2-E-TEST-0035-440.4025
0035	1C2-E-TEST-0035-440.4075
0035	1C2-E-TEST-0035-440.4152
0035	1C2-E-TEST-0035-440.4252
0035	1C2-E-TEST-0035-440.4277
0035	1C2-E-TEST-0035-440.4326
0035	1C2-E-TEST-0035-440.4362
0035	1C2-E-TEST-0035-440.4393
0035	1C2-E-TEST-0035-440.4471
0035	1C2-E-TEST-0035-440.4497
0035	1C2-E-TEST-0035-58.30
0112	1C2-E-TEST-0112-34.3
